url,emotion,headline,source,yr,sentiment
https://www.cbsnews.com/news/mexican-fireworks-blast-kills-dozens/,anger,Mexican ... Dozens,cbs,2003,-1
https://www.cbsnews.com/news/iraq-accuses-us-of-double-standard/,disgust,Iraq ... Standard,cbs,2003,-1
https://www.cbsnews.com/news/spare-death-row-lives-say-experts/,neutral,Spare ... Experts,cbs,2003,0
https://www.cbsnews.com/news/historys-footprint-sparks-new-battle/,neutral,History's ... Battle,cbs,2003,0
https://www.cbsnews.com/news/your-brain-on-cocaine/,disgust,Your ... Cocaine,cbs,2003,-1
https://www.cbsnews.com/news/startling-policies-in-n-ireland-documents/,neutral,Startling ... Documents,cbs,2003,0
https://www.cbsnews.com/news/welcome-2003/,neutral,Welcome ... 2003!,cbs,2003,0
https://www.cbsnews.com/news/pope-makes-plea-for-mideast-peace/,joy,Pope ... Peace,cbs,2003,1
https://www.cbsnews.com/news/reverse-mortgages-gain-in-popularity/,neutral,Reverse ... Popularity,cbs,2003,0
https://www.cbsnews.com/news/rehnquists-request/,neutral,Rehnquist's ... Request,cbs,2003,0
https://www.cbsnews.com/news/tasty-healthy-salad/,neutral,Tasty ... Salad,cbs,2003,0
https://www.cbsnews.com/news/defiant-n-korea-vows-to-confront-us/,anger,Defiant ... U.S.,cbs,2003,-1
https://www.cbsnews.com/news/bush-talks-mild-n-korea-blusters/,neutral,Bush ... Blusters,cbs,2003,0
https://www.cbsnews.com/news/oj-simpson-shows-team-spirit/,joy,O.J. ... Spirit,cbs,2003,1
https://www.cbsnews.com/news/pakistani-guard-shot-us-soldier/,anger,Pakistani ... Soldier,cbs,2003,-1
https://www.cbsnews.com/news/officials-want-w-va-surgeons-back/,neutral,Officials ... Back,cbs,2003,0
https://www.cbsnews.com/news/edwards-launches-white-house-bid/,joy,Edwards ... Bid,cbs,2003,1
https://www.cbsnews.com/news/terror-tie-suspected-in-yemen-attack/,fear,Terror ... Attack,cbs,2003,-1
https://www.cbsnews.com/news/in-with-the-new-laws/,neutral,In ... Laws,cbs,2003,0
https://www.cbsnews.com/news/wireless-insecurity/,neutral,Wireless ... Insecurity,cbs,2003,0
https://www.cbsnews.com/news/surgeons-strike-over-insurance-costs/,anger,Surgeons ... Costs,cbs,2003,-1
https://www.cbsnews.com/news/gunshots-trigger-hefty-costs/,anger,Gunshots ... Costs,cbs,2003,-1
https://www.cbsnews.com/news/apes-aping-apes-pass-down-culture/,neutral,Apes ... Culture,cbs,2003,0
https://www.cbsnews.com/news/us-firms-in-china-missile-tech-mess/,fear,U.S. ... Mess,cbs,2003,-1
https://www.cbsnews.com/news/improve-driving-with-surgery/,sadness,Improve ... Surgery,cbs,2003,-1
https://www.cbsnews.com/news/a-black-mark-for-the-red-cross/,neutral,A ... Cross,cbs,2003,0
https://www.cbsnews.com/news/renaissance-for-the-scrapbook/,neutral,Renaissance ... Scrapbook,cbs,2003,0
https://www.cbsnews.com/news/new-drug-for-ms-and-crohns-disease/,neutral,New ... Disease,cbs,2003,0
