url,emotion,headline,source,yr,sentiment
https://www.nbcnews.com/news/world/north-korean-leader-blames-south-increasing-mistrust-n488811,anger,North ... Mistrust,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/chick-fil-says-auld-lang-syne-cole-slaw-here-s-n488781,neutral,Chick-Fil-A ... Recipe,nbcnews,2016,0
https://www.nbcnews.com/news/us-news/pilot-who-crashed-downtown-anchorage-had-death-wish-n488961,fear,Pilot ... Wish,nbcnews,2016,-1
https://www.nbcnews.com/tech/innovation/elon-musk-says-spacex-falcon-9-rocket-ready-fire-again-n488926,fear,Elon ... Again',nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/obama-discuss-executive-action-guns-attorney-general-lynch-n488841,neutral,Obama ... Lynch,nbcnews,2016,0
https://www.nbcnews.com/news/world/boy-12-killed-kabul-suicide-bombing-french-restaurant-n488996,sadness,"Boy, ... Restaurant",nbcnews,2016,-1
https://www.nbcnews.com/storyline/bill-cosby-scandal/attorneys-cosby-s-wife-call-subpoena-fishing-expedition-n488756,fear,Attorneys ... Expedition',nbcnews,2016,-1
https://www.nbcnews.com/news/world/dubai-s-towering-inferno-burns-2016-n488826,sadness,Dubai's ... 2016,nbcnews,2016,-1
https://www.nbcnews.com/news/world/meet-mr-february-cat-he-saved-sticky-end-n488836,neutral,Meet ... End,nbcnews,2016,0
https://www.nbcnews.com/news/us-news/ranks-isis-recruits-include-mentally-ill-n488891,neutral,Ranks ... Ill,nbcnews,2016,0
https://www.nbcnews.com/tech/tech-news/get-organized-2016-5-ways-cut-clutter-going-digital-n487471,neutral,Get ... Digital,nbcnews,2016,0
https://www.nbcnews.com/storyline/2015-year-in-review/richard-engel-offers-10-predictions-2016-n481741,neutral,Richard ... 2016,nbcnews,2016,0
https://www.nbcnews.com/news/weather/roadways-reopen-after-midwest-floods-worst-still-come-some-areas-n488901,disgust,Roadways ... Areas,nbcnews,2016,-1
https://www.nbcnews.com/tech/mobile/end-cellphone-contracts-could-be-good-news-consumers-n488941,neutral,End ... Consumers,nbcnews,2016,0
https://www.nbcnews.com/storyline/zika-virus-outbreak/puerto-rico-reports-first-case-zika-virus-linked-birth-defect-n488876,fear,Puerto ... Defect,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/mississippi-councilman-kenneth-stokes-calls-pelt-cops-rocks-n488906,sadness,Mississippi ... Rocks,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/fatal-new-year-s-eve-apartment-fire-washington-n488821,sadness,Fatal ... Washington,nbcnews,2016,-1
https://www.nbcnews.com/storyline/isis-terror/train-stations-evacuated-after-terror-alert-germany-n488806,fear,Train ... Germany,nbcnews,2016,-1
https://www.nbcnews.com/news/world/least-two-people-killed-gunman-attacks-tel-aviv-cafe-bar-n488881,sadness,At ... Cafe-Bar,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/five-wounded-when-gunman-opens-fire-new-years-eve-revelers-n488791,neutral,Gunman ... Five,nbcnews,2016,0
https://www.nbcnews.com/storyline/isis-terror/isis-plot-tip-triggered-new-year-s-eve-terror-scare-n488846,fear,ISIS ... Munich,nbcnews,2016,-1
https://www.nbcnews.com/news/world/north-korea-s-kim-jong-un-blames-south-mistrust-calls-n488816,fear,North ... Talks,nbcnews,2016,-1
https://www.nbcnews.com/news/world/dubai-investigates-luxury-hotel-skyscraper-fire-near-burj-khalifa-n488831,fear,Dubai ... Khalifa,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/seattle-philanthropist-found-dead-washington-mountain-n488956,sadness,Seattle ... Mountain,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/new-year-s-day-hundreds-new-laws-across-country-go-n486741,neutral,New ... Effect,nbcnews,2016,0
https://www.nbcnews.com/news/us-news/watch-some-more-unusual-new-year-s-eve-drops-n488851,neutral,Watch ... 'Drops',nbcnews,2016,0
https://www.nbcnews.com/storyline/bill-cosby-scandal/bill-cosby-s-wife-will-have-undergo-deposition-judge-rules-n488766,neutral,Bill ... Rules,nbcnews,2016,0
https://www.nbcnews.com/news/world/two-killed-seven-hurt-shooting-tel-aviv-cafe-bar-n488866,sadness,Two ... Cafe-Bar,nbcnews,2016,-1
https://www.nbcnews.com/storyline/2015-year-in-review/isis-owns-headlines-nigeria-s-boko-haram-kills-more-ever-n480986,sadness,ISIS ... Ever,nbcnews,2016,-1
https://www.nbcnews.com/news/us-news/terror-suspect-panhandled-targeted-pub-owner-says-n488931,fear,Terror ... Says,nbcnews,2016,-1
