,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,neg_full,neu_full,pos_full,our_sentiment,agreement,time,url_regex,url_regex1,url_time,url_time1,has_date,month,has_headline,headline_regex
0,1584,1584,563793,13873400,https://www.bloomberg.com/news/articles/2006-06-14/stocks-jump-amid-firm-earnings-databusinessweek-business-news-stock-market-and-financial-advice,neutral,Stocks ... Data,bloomberg,2006,0,1,,,-0.8317463994026184,1.7017831802368164,0.25811100006103516,0,0,[],2006-06-14 00:00:00,,2006-06-14,,1,6.0,0,stocks jump amid firm earnings databusinessweek business news stock market and financial advice
1,1585,1585,563794,13873966,https://www.bloomberg.com/news/articles/2006-06-27/treasury-prices-fall-as-market-eyes-fedbusinessweek-business-news-stock-market-and-financial-advice,neutral,Treasury ... Fed,bloomberg,2006,0,1,,,0.9322829246520996,0.13249491155147552,-1.1375716924667358,0,0,[],2006-06-27 00:00:00,,2006-06-27,,1,6.0,0,treasury prices fall as market eyes fedbusinessweek business news stock market and financial advice
2,1586,1586,563795,13875858,https://www.bloomberg.com/news/articles/2006-08-16/hp-posts-higher-earnings-and-sets-6-billion-buybackbusinessweek-business-news-stock-market-and-financial-advice,neutral,HP ... Buyback,bloomberg,2006,0,1,,,-1.0027378797531128,1.003476858139038,0.8256025910377502,0,0,[],2006-08-16 00:00:00,,2006-08-16,,1,8.0,0,hp posts higher earnings and sets 6 billion buybackbusinessweek business news stock market and financial advice
3,1587,1587,563756,13466554,https://www.bloomberg.com/news/articles/2008-05-09/stocks-fall-on-poor-earnings-oil-pricesbusinessweek-business-news-stock-market-and-financial-advice,sadness,Stocks ... Prices,bloomberg,2008,-1,1,,,1.4476187229156494,-0.6564812064170837,-1.0505629777908325,0,0,[],2008-05-09 00:00:00,,2008-05-09,,1,5.0,0,stocks fall on poor earnings oil pricesbusinessweek business news stock market and financial advice
4,1588,1588,563757,13466617,https://www.bloomberg.com/news/articles/2008-05-13/wal-mart-q1-earnings-up-6-dot-9-percent-businessweek-business-news-stock-market-and-financial-advice,surprise,Wal-Mart ... 6.9%,bloomberg,2008,0,1,,,-0.7922714948654175,1.7709800004959106,-0.372241348028183,0,0,[],2008-05-13 00:00:00,,2008-05-13,,1,5.0,0,wal mart q1 earnings up 6 dot 9 percent businessweek business news stock market and financial advice
5,1589,1589,563758,13468292,https://www.bloomberg.com/news/articles/2008-06-27/stocks-end-lower-on-oil-earnings-newsbusinessweek-business-news-stock-market-and-financial-advice,sadness,Stocks ... News,bloomberg,2008,-1,1,,,-0.7766028642654419,1.3833123445510864,0.20814408361911774,0,0,[],2008-06-27 00:00:00,,2008-06-27,,1,6.0,0,stocks end lower on oil earnings newsbusinessweek business news stock market and financial advice
6,1590,1590,563759,13469147,https://www.bloomberg.com/news/articles/2008-07-23/stocks-end-higher-on-earnings-lower-oilbusinessweek-business-news-stock-market-and-financial-advice,sadness,Stocks ... Oil,bloomberg,2008,-1,1,,,-0.23701421916484833,1.0593523979187012,0.1511564701795578,0,0,[],2008-07-23 00:00:00,,2008-07-23,,1,7.0,0,stocks end higher on earnings lower oilbusinessweek business news stock market and financial advice
7,1591,1591,563760,13472525,https://www.bloomberg.com/news/articles/2008-10-29/stocks-turn-lower-after-fed-cuts-ratesbusinessweek-business-news-stock-market-and-financial-advice,sadness,Stocks ... Rates,bloomberg,2008,-1,1,,,-0.16423767805099487,1.427256464958191,-0.48277416825294495,0,0,[],2008-10-29 00:00:00,,2008-10-29,,1,10.0,0,stocks turn lower after fed cuts ratesbusinessweek business news stock market and financial advice
8,1592,1592,563835,13943568,https://www.bloomberg.com/news/articles/2010-04-15/syngenta-first-quarter-sales-fall-3-percent-to-3-5-billion-sees-growth,neutral,Syngenta ... Start,bloomberg,2010,0,1,,,1.5430705547332764,-0.7134516835212708,-0.9842847585678101,0,0,[],2010-04-15 00:00:00,,2010-04-15,,1,4.0,0,syngenta first quarter sales fall 3 percent to 3 5 billion sees growth
9,1593,1593,563836,13943612,https://www.bloomberg.com/news/articles/2010-04-15/dividend-deals-accelerate-as-blackstone-seeks-apria-payout-credit-markets,neutral,LBO ... Markets,bloomberg,2010,0,1,,,0.32372453808784485,1.0471482276916504,-0.878145694732666,0,0,[],2010-04-15 00:00:00,,2010-04-15,,1,4.0,0,dividend deals accelerate as blackstone seeks apria payout credit markets
