,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,neg_full,neu_full,pos_full,our_sentiment,agreement,time,url_regex,url_regex1,url_time,url_time1,has_date,month,has_headline,headline_regex
0,26622,26622,5810,1669158,https://www.wsj.com/articles/ralph-lauren-earnings-sales-outlook-disappoints-1375882947?tesla=y,sadness,Ralph ... Disappoints,wsj,2013,-1,1,,,-0.5005497336387634,2.0344789028167725,-1.3767060041427612,0,0,,,,,2013-08-07,1,8.0,0,ralph lauren earnings sales outlook disappoints 1375882947?tesla=y
1,26623,26623,5811,1669231,https://www.wsj.com/articles/apollo-earnings-firm-swings-to-profit-1375963421?tesla=y,neutral,Apollo ... Profits,wsj,2013,0,1,,,-0.6546884775161743,2.197056770324707,-1.2551692724227905,0,0,,,,,2013-08-08,1,8.0,0,apollo earnings firm swings to profit 1375963421?tesla=y
2,26624,26624,5812,1669339,https://www.wsj.com/articles/fannie-posts-101-billion-profit-1375968376?tesla=y,neutral,Fannie ... Billion,wsj,2013,0,1,,,-0.43325185775756836,1.9188820123672485,-1.1487314701080322,0,0,,,,,2013-08-08,1,8.0,0,fannie posts 101 billion profit 1375968376?tesla=y
3,26625,26625,5813,1669451,https://www.wsj.com/articles/china-yuan-falls-vs-dollar-on-selling-from-staterun-banks-1376040473?tesla=y,neutral,China ... Banks,wsj,2013,0,1,,,-0.5414472818374634,2.0344715118408203,-1.4509899616241455,0,0,,,,,2013-08-09,1,8.0,0,china yuan falls vs dollar on selling from staterun banks 1376040473?tesla=y
4,26626,26626,5814,1669582,https://www.wsj.com/articles/global-infrastructure-partners-explores-brisbane-port-sale-1376034237?tesla=y,neutral,Global ... Sale,wsj,2013,0,1,,,-0.48938223719596863,1.9723795652389526,-1.0310134887695312,0,0,,,,,2013-08-09,1,8.0,0,global infrastructure partners explores brisbane port sale 1376034237?tesla=y
5,26627,26627,5815,1669719,https://www.wsj.com/articles/canadian-dollar-drifts-lower-amid-lull-in-domestic-data-1376337850?tesla=y,neutral,Canadian ... Data,wsj,2013,0,1,,,-0.6609379053115845,2.1154842376708984,-1.3340415954589844,0,0,,,,,2013-08-12,1,8.0,0,canadian dollar drifts lower amid lull in domestic data 1376337850?tesla=y
6,26628,26628,5816,1669729,https://www.wsj.com/articles/brazil-real-closes-weaker-markets-seen-testing-central-bank-1376336831?tesla=y,neutral,Brazil ... Bank,wsj,2013,0,1,,,-0.7204389572143555,2.0922529697418213,-1.1684521436691284,0,0,,,,,2013-08-12,1,8.0,0,brazil real closes weaker markets seen testing central bank 1376336831?tesla=y
7,26629,26629,5817,1669862,https://www.wsj.com/articles/consumer-spending-belies-dire-forecasts-1376351829?tesla=y,neutral,Consumer ... Forecasts,wsj,2013,0,1,,,-0.4535309672355652,1.5969725847244263,-0.9675076603889465,0,0,,,,,2013-08-12,1,8.0,0,consumer spending belies dire forecasts 1376351829?tesla=y
8,26630,26630,5818,1669907,https://www.wsj.com/articles/canadian-dollar-slips-against-broadly-stronger-us-dollar-1376423759?tesla=y,neutral,Canadian ... Dollar,wsj,2013,0,1,,,-0.948743462562561,2.1381285190582275,-1.1447645425796509,0,0,,,,,2013-08-13,1,8.0,0,canadian dollar slips against broadly stronger us dollar 1376423759?tesla=y
9,26631,26631,5819,1670016,https://www.wsj.com/articles/german-data-lift-european-stocks-1376425367?tesla=y,neutral,German ... Stocks,wsj,2013,0,1,,,-0.508669376373291,1.8528085947036743,-0.7942888736724854,0,0,,,,,2013-08-13,1,8.0,0,german data lift european stocks 1376425367?tesla=y
