,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,url,emotion,headline,source,yr,sentiment,rel,short_title,full_title,neg_full,neu_full,pos_full,our_sentiment,agreement,time,url_regex,url_regex1,url_time,url_time1,has_date
26622,26622.0,5810.0,1669158.0,https://www.wsj.com/articles/ralph-lauren-earnings-sales-outlook-disappoints-1375882947?tesla=y,sadness,Ralph ... Disappoints,wsj,2013.0,-1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/7/13,1.0
26623,26623.0,5811.0,1669231.0,https://www.wsj.com/articles/apollo-earnings-firm-swings-to-profit-1375963421?tesla=y,neutral,Apollo ... Profits,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/8/13,1.0
26624,26624.0,5812.0,1669339.0,https://www.wsj.com/articles/fannie-posts-101-billion-profit-1375968376?tesla=y,neutral,Fannie ... Billion,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/8/13,1.0
26625,26625.0,5813.0,1669451.0,https://www.wsj.com/articles/china-yuan-falls-vs-dollar-on-selling-from-staterun-banks-1376040473?tesla=y,neutral,China ... Banks,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/9/13,1.0
26626,26626.0,5814.0,1669582.0,https://www.wsj.com/articles/global-infrastructure-partners-explores-brisbane-port-sale-1376034237?tesla=y,neutral,Global ... Sale,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/9/13,1.0
26627,26627.0,5815.0,1669719.0,https://www.wsj.com/articles/canadian-dollar-drifts-lower-amid-lull-in-domestic-data-1376337850?tesla=y,neutral,Canadian ... Data,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/12/13,1.0
26628,26628.0,5816.0,1669729.0,https://www.wsj.com/articles/brazil-real-closes-weaker-markets-seen-testing-central-bank-1376336831?tesla=y,neutral,Brazil ... Bank,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/12/13,1.0
26629,26629.0,5817.0,1669862.0,https://www.wsj.com/articles/consumer-spending-belies-dire-forecasts-1376351829?tesla=y,neutral,Consumer ... Forecasts,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/12/13,1.0
26630,26630.0,5818.0,1669907.0,https://www.wsj.com/articles/canadian-dollar-slips-against-broadly-stronger-us-dollar-1376423759?tesla=y,neutral,Canadian ... Dollar,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/13/13,1.0
26631,26631.0,5819.0,1670016.0,https://www.wsj.com/articles/german-data-lift-european-stocks-1376425367?tesla=y,neutral,German ... Stocks,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/13/13,1.0
26632,26632.0,5820.0,1670040.0,https://www.wsj.com/articles/hon-hai-posts-41-net-profit-rise-1376393668?tesla=y,joy,Hon ... 41%,wsj,2013.0,1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/13/13,1.0
26633,26633.0,5821.0,1670191.0,https://www.wsj.com/articles/new-zealand-dollar-weaker-vs-us-dollar-1376457040?tesla=y,neutral,New ... Dollar,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/14/13,1.0
26634,26634.0,5822.0,1670333.0,https://www.wsj.com/articles/california-sells-55-billion-in-bonds-1376596126?tesla=y,sadness,California ... Bonds,wsj,2013.0,-1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/15/13,1.0
26635,26635.0,5823.0,1670393.0,https://www.wsj.com/articles/dell-profit-falls-72-sales-flat-1376598384?tesla=y,sadness,Dell ... Flat,wsj,2013.0,-1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/15/13,1.0
26636,26636.0,5824.0,1670762.0,https://www.wsj.com/articles/blackstone-realestate-fund-offers-to-buy-hong-kongs-tysan-holdings-for-hk25-billion-1376930200?tesla=y,neutral,Blackstone ... Billion,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/19/13,1.0
26637,26637.0,5825.0,1670808.0,https://www.wsj.com/articles/saks-earnings-flat-sales-higher-costs-1376917447?tesla=y,sadness,Saks ... Costs,wsj,2013.0,-1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/19/13,1.0
26638,26638.0,5826.0,1670868.0,https://www.wsj.com/articles/urban-outfitters-earnings-higher-sales-wider-margins-1376945244?tesla=y,neutral,Urban ... Margins,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/19/13,1.0
26639,26639.0,5827.0,1670870.0,https://www.wsj.com/articles/canadian-dollar-ends-slightly-lower-in-quiet-trading-1376943794?tesla=y,neutral,Canadian ... Trading,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/19/13,1.0
26640,26640.0,5828.0,1670941.0,https://www.wsj.com/articles/canadian-dollar-weakens-to-2week-low-as-global-growth-concerns-mount-1377031880?tesla=y,fear,Canadian ... Mount,wsj,2013.0,-1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/20/13,1.0
26641,26641.0,5829.0,1670996.0,https://www.wsj.com/articles/mexican-peso-emergingmarket-currencies-bounce-back-modestly-1377020671?tesla=y,neutral,Mexican ... Modestly,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/20/13,1.0
26642,26642.0,5830.0,1671131.0,https://www.wsj.com/articles/toll-brothers-earnings-home-builders-sales-growth-continues-1377096229?tesla=y,neutral,Toll ... Continues,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/21/13,1.0
26643,26643.0,5831.0,1671148.0,https://www.wsj.com/articles/indian-outsourcing-firms-gain-as-rupee-falls-1377107534?tesla=y,joy,Indian ... Falls,wsj,2013.0,1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/21/13,1.0
26644,26644.0,5832.0,1671184.0,https://www.wsj.com/articles/china-yuan-slightly-stronger-following-central-bank-guidance-1377077957?tesla=y,neutral,China ... Guidance,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/21/13,1.0
26645,26645.0,5833.0,1671256.0,https://www.wsj.com/articles/new-zealand-dollar-down-late-as-us-dollar-sees-broad-strength-1377064550?tesla=y,neutral,New ... Strength,wsj,2013.0,0.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/21/13,1.0
26646,26646.0,5834.0,1671320.0,https://www.wsj.com/articles/gap-earnings-profit-sales-outlook-rise-1377205380?tesla=y,joy,Gap ... Slump,wsj,2013.0,1.0,1.0,,,0.0,0.0,0.0,FALSE,FALSE,,,,,8/22/13,1.0
