emotion,headline,url
neutral,Cruel ... Kittycat,https://slate.com/news-and-politics/2005/01/cruel-and-unusual-kittycat.html
neutral,Next ... Minsk,https://slate.com/news-and-politics/2005/01/new-years-in-the-new-ukraine-next-year-in-minsk.html
joy,Sweet ... Relief,https://slate.com/news-and-politics/2005/01/sweet-relief.html
neutral,Battle ... Nexus,https://slate.com/news-and-politics/2005/01/fraysters-argue-about-where-femininity-and-feminism-link.html
neutral,“I ... Flunky”,https://slate.com/news-and-politics/2005/01/dennis-hastert-flunky.html
neutral,Better ... Never,https://slate.com/news-and-politics/2005/01/better-late-than-never.html
surprise,That’s ... Advertainment!,https://slate.com/business/2005/01/those-terrible-amazon-shorts.html
fear,Why ... Evil,https://slate.com/business/2005/01/why-gift-cards-are-evil.html
joy,Eternal ... Club,https://slate.com/culture/2005/01/eternal-sunshine-of-the-movie-club.html
neutral,“The ... Seamstress”,https://slate.com/culture/2005/01/the-seamstress.html
joy,The ... Hipster,https://slate.com/culture/2005/01/the-passion-of-the-hipster.html
anger,Contempt ... Contempt,https://slate.com/culture/2005/01/contempt.html
neutral,I ... …,https://slate.com/culture/2005/01/i-nominate-dogville.html
neutral,A ... On,https://slate.com/culture/2005/01/a-phone-you-can-actually-type-on.html
disgust,The ... Story,https://slate.com/human-interest/2005/01/god-s-politics-a-review.html
neutral,Paper ... Plastic?,https://slate.com/news-and-politics/2005/01/mexico-s-cool-new-plastic-money.html
neutral,Teachers’ ... Pets,https://slate.com/news-and-politics/2005/01/slate-on-day-to-day-for-the-week-of-jan-3.html
neutral,DeLayed ... Reaction,https://slate.com/news-and-politics/2005/01/delayed-reaction.html
neutral,Hot ... Topic,https://slate.com/news-and-politics/2005/01/what-s-new-in-the-new-republic-etc.html
neutral,Putting ... Perspective,https://slate.com/culture/2005/01/putting-posturing-pundits-in-perspective.html
neutral,You ... This,https://slate.com/human-interest/2005/01/memory-enhancement-products.html
neutral,Hybrid ... Model,https://slate.com/culture/2005/01/how-noguchi-transcended-modernism.html
neutral,Beauty ... Beast,https://slate.com/culture/2005/01/fat-sitcom-husbands.html
neutral,AOL’s ... List,https://slate.com/culture/2005/01/aol-s-top-10-list.html
neutral,About ... …,https://slate.com/culture/2005/01/about-that-voice-poll.html
neutral,Refocusing ... Refocusing,https://slate.com/culture/2005/01/refocusing.html
joy,Enormous ... Manager,https://slate.com/news-and-politics/2005/01/who-should-run-homeland-security.html
